Date,Time,Timestamp,April 2025_Price,April 2025_Rate_Change,May 2025_Price,May 2025_Rate_Change,June 2025_Price,June 2025_Rate_Change
2025-04-05,10:07:00,2025-04-05 10:07:00,232.25,-6.2 (-2.6%),232.8,-6.2 (-2.59%),234.2,-6.95 (-2.88%)
2025-04-05,10:08:00,2025-04-05 10:08:00,232.25,-6.2 (-2.6%),232.8,-6.2 (-2.59%),234.2,-6.95 (-2.88%)
2025-04-05,10:08:00,2025-04-05 10:08:00,232.25,-6.2 (-2.6%),232.8,-6.2 (-2.59%),234.2,-6.95 (-2.88%)
2025-04-05,10:08:00,2025-04-05 10:08:00,232.25,-6.2 (-2.6%),232.8,-6.2 (-2.59%),234.2,-6.95 (-2.88%)
2025-04-05,10:08:00,2025-04-05 10:08:00,232.25,-6.2 (-2.6%),232.8,-6.2 (-2.59%),234.2,-6.95 (-2.88%)
2025-04-05,10:09:00,2025-04-05 10:09:00,232.25,-6.2 (-2.6%),232.8,-6.2 (-2.59%),234.2,-6.95 (-2.88%)
2025-04-05,10:09:00,2025-04-05 10:09:00,232.25,-6.2 (-2.6%),232.8,-6.2 (-2.59%),234.2,-6.95 (-2.88%)
2025-04-05,10:09:00,2025-04-05 10:09:00,232.25,-6.2 (-2.6%),232.8,-6.2 (-2.59%),234.2,-6.95 (-2.88%)
2025-04-05,10:10:00,2025-04-05 10:10:00,232.25,-6.2 (-2.6%),232.8,-6.2 (-2.59%),234.2,-6.95 (-2.88%)
2025-04-05,10:10:00,2025-04-05 10:10:00,232.25,-6.2 (-2.6%),232.8,-6.2 (-2.59%),234.2,-6.95 (-2.88%)
2025-04-05,10:10:00,2025-04-05 10:10:00,232.25,-6.2 (-2.6%),232.8,-6.2 (-2.59%),234.2,-6.95 (-2.88%)
2025-04-05,10:11:00,2025-04-05 10:11:00,232.25,-6.2 (-2.6%),232.8,-6.2 (-2.59%),234.2,-6.95 (-2.88%)
2025-04-05,10:11:00,2025-04-05 10:11:00,232.25,-6.2 (-2.6%),232.8,-6.2 (-2.59%),234.2,-6.95 (-2.88%)
2025-04-05,10:11:00,2025-04-05 10:11:00,232.25,-6.2 (-2.6%),232.8,-6.2 (-2.59%),234.2,-6.95 (-2.88%)
2025-04-05,10:12:00,2025-04-05 10:12:00,232.25,-6.2 (-2.6%),232.8,-6.2 (-2.59%),234.2,-6.95 (-2.88%)
2025-04-05,10:12:00,2025-04-05 10:12:00,232.25,-6.2 (-2.6%),232.8,-6.2 (-2.59%),234.2,-6.95 (-2.88%)
2025-04-05,10:13:00,2025-04-05 10:13:00,232.25,-6.2 (-2.6%),232.8,-6.2 (-2.59%),234.2,-6.95 (-2.88%)
2025-04-05,10:13:00,2025-04-05 10:13:00,232.25,-6.2 (-2.6%),232.8,-6.2 (-2.59%),234.2,-6.95 (-2.88%)
2025-04-05,10:13:00,2025-04-05 10:13:00,232.25,-6.2 (-2.6%),232.8,-6.2 (-2.59%),234.2,-6.95 (-2.88%)
2025-04-05,10:14:00,2025-04-05 10:14:00,232.25,-6.2 (-2.6%),232.8,-6.2 (-2.59%),234.2,-6.95 (-2.88%)
2025-04-05,10:14:00,2025-04-05 10:14:00,232.25,-6.2 (-2.6%),232.8,-6.2 (-2.59%),234.2,-6.95 (-2.88%)
2025-04-05,10:15:00,2025-04-05 10:15:00,232.25,-6.2 (-2.6%),232.8,-6.2 (-2.59%),234.2,-6.95 (-2.88%)
